القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
بني سويف,48.5,51.5,"155,268","99,992","2,872",66.2,"51,533","48,459"
بني سويف الجديده,56.0,44.0,"3,780","2,601",59,70.4,"1,145","1,456"
مركز بني سويف,60.7,39.3,"185,501","103,808","2,742",57.4,"40,846","62,962"
مركز ناصر,71.6,28.4,"170,845","95,746","2,541",57.5,"27,216","68,530"
مركز سمسطا,81.4,18.6,"118,545","60,603","3,430",54.0,"11,288","49,315"
مركز اهناسيا,71.8,28.2,"169,101","83,588","2,780",51.1,"23,604","59,984"
مركز ببا,66.3,33.7,"203,998","107,953","3,633",54.7,"36,403","71,550"
مركز الواسطى,72.7,27.3,"215,237","118,322","3,282",56.5,"32,258","86,064"
مركز الفشن,65.2,34.8,"198,732","97,729","2,922",50.6,"33,970","63,759"
