القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
اول أسوان,51.3,48.7,"112,375","51,912","1,472",47.5,"25,300","26,612"
ثان أسوان,58.2,41.8,"99,973","43,092","1,046",44.1,"18,012","25,080"
مركز أسوان,59.7,40.3,"42,694","16,171",520,39.1,"6,523","9,648"
مركز دراو,57.9,42.1,"73,915","24,107",512,33.3,"10,147","13,960"
مركز كوم امبو,50.0,50.0,"203,548","70,888","1,602",35.6,"35,426","35,462"
مركز ادفو,46.2,53.8,"260,284","91,674","2,021",36.0,"49,292","42,382"
مركز نصر النوبه,59.8,40.2,"63,198","18,950",560,30.9,"7,626","11,324"
مركز ابوسمبل,56.8,43.2,"1,997",630,43,33.7,272,358
