القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
الواحات الخارجه,57.5,42.5,"53,810","27,038",552,51.3,"11,490","15,548"
مركز باريس,66.7,33.3,"7,575","3,603",80,48.6,"1,201","2,402"
مركز الفرافره,70.8,29.2,"16,264","5,809",157,36.7,"1,697","4,112"
م الواحات الداخله,65.3,34.7,"55,290","23,518",471,43.4,"8,154","15,364"
مركز بلاط,82.5,17.5,"8,637","3,041",60,35.9,533,"2,508"
