القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
السويس,52.9,47.1,"54,003","30,252","1,618",59.0,"14,254","15,998"
الاربعين,62.4,37.6,"166,718","88,002","2,976",54.6,"33,069","54,933"
فيصل,64.4,35.6,"98,641","56,008","2,163",59.0,"19,964","36,044"
الجناين,70.7,29.3,"54,547","27,444",641,51.5,"8,032","19,412"
عتاقه,66.8,33.2,"7,389","4,257",152,59.7,"1,415","2,842"
