القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
الفيوم,62.4,37.6,"230,592","124,185","3,284",55.3,"46,699","77,486"
مركز الفيوم,77.9,22.1,"229,333","121,119","3,547",54.4,"26,737","94,382"
مركز ابشواى,84.1,15.9,"184,187","88,182","2,379",49.2,"14,025","74,157"
مركز اطسا,80.2,19.8,"302,241","137,065","4,907",47.0,"27,190","109,875"
مركز سنورس,79.0,21.0,"263,361","127,069","4,759",50.1,"26,673","100,396"
مركز طاميه,79.5,20.5,"184,889","89,562","2,195",49.6,"18,334","71,228"
مركز يوسف الصديق,86.9,13.1,"154,458","74,148","2,020",49.3,"9,677","64,471"
