القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
اول الغردقه,43.4,56.6,"36,247","17,145",432,48.5,"9,699","7,446"
ثان الغردقه,46.5,53.5,"81,279","37,475","1,001",47.3,"20,042","17,433"
سفاجا,48.7,51.3,"34,646","12,909",356,38.3,"6,619","6,290"
راس  غارب,61.3,38.7,"26,123","11,445",434,45.5,"4,434","7,011"
مرسى علم,63.4,36.6,"5,812","1,408",48,25.1,516,892
شلاتين,66.2,33.8,"8,516","2,186",70,26.5,738,"1,448"
القصير,51.4,48.6,"31,528","12,223",346,39.9,"5,940","6,283"
