القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
طور سيناء,47.6,52.4,"24,142","9,970",311,42.6,"5,228","4,742"
راس  سدر,58.7,41.3,"9,725","3,923",107,41.4,"1,622","2,301"
ابورديس,52.8,47.2,"8,696","2,927",60,34.3,"1,381","1,546"
سانت كاترين,48.7,51.3,"2,800","1,547",57,57.3,794,753
شرم الشيخ,41.0,59.0,"7,495","2,913",91,40.1,"1,720","1,193"
دهب,52.9,47.1,"5,097","1,937",62,39.2,913,"1,024"
نويبع,47.1,52.9,"4,355","1,493",45,35.3,790,703
طابا,75.0,25.0,98,32,0,32.7,8,24
