القسم,نسبة د. مرسي,نسبة د. شفيق,عدد الناخبين,الاصوات الصحيحة,الاصوات الباطلة,نسبة المشاركة,د.أحمد شفيق,د.محمد مرسي
مرسى مطروح,72.5,27.5,"102,823","42,885",892,42.6,"11,793","31,092"
النجيله,98.0,2.0,"7,059","2,397",31,34.4,49,"2,348"
سيوه,97.6,2.4,"12,725","6,824",93,54.4,161,"6,663"
الحمام,82.2,17.8,"33,573","14,000",340,42.7,"2,494","11,506"
العلمين,84.8,15.2,"3,937","1,633",62,43.1,249,"1,384"
السلوم,90.5,9.5,"7,568","2,047",27,27.4,195,"1,852"
سيدى برانى,92.8,7.2,"16,266","3,811",60,23.8,275,"3,536"
الضبعه,87.8,12.2,"20,182","7,645",124,38.5,931,"6,714"
