مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
اول أسوان,112385,47205,632,42.6%,85,68,94,8267,8490,66,47,568,10003,10360,22,377,8758
ثان أسوان,99995,36498,495,37.0%,98,66,68,5502,6705,74,55,348,6443,7561,26,277,9275
مركز أسوان,42705,13750,318,32.9%,45,31,51,3629,2430,25,26,134,1306,1952,10,104,4007
مركز دراو,73940,19558,417,27.0%,89,59,67,4210,3909,43,58,289,2918,2976,22,126,4792
مركز كوم امبو,203740,55402,1310,27.8%,253,152,190,12523,7922,101,174,737,10851,7656,54,378,14411
مركز ادفو,260314,70457,1289,27.6%,250,194,145,19564,11789,141,218,1055,13343,8176,46,448,15088
مركز نصر النوبة,63204,17942,396,29.0%,93,73,77,5895,3436,51,81,252,916,2830,14,193,4031
مركز ابو سمبل,1997,711,33,37.3%,6,2,8,200,120,2,1,2,44,175,2,16,133
الإجمالي,858280,261523,4890,31.0%,919,645,700,59790,44801,503,660,3385,45824,41686,196,1919,60495
