مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
مرسى مطروح,102898,37077,365,36.4%,39,52,26,4642,18062,53,32,321,4008,4025,8,158,5651
النجيله,7059,1570,26,22.6%,3,3,0,55,1361,3,0,5,4,7,0,2,127
سيوة,12726,4741,65,37.8%,4,3,2,91,1790,7,4,11,24,26,5,6,2768
الحمام,33579,10498,201,31.9%,21,21,11,1073,4973,9,19,47,871,712,9,21,2711
العلمين,3937,1310,16,33.7%,2,3,1,216,769,0,3,10,48,61,0,2,195
السلوم,7568,1411,22,18.9%,2,0,0,101,831,1,1,7,80,25,0,0,363
سيدى برانى,16266,2843,43,17.7%,4,11,4,239,2348,8,2,5,84,20,2,1,115
الضبعة,20182,5450,86,27.4%,6,14,8,432,3397,9,7,33,300,115,2,7,1120
الإجمالي,204215,64900,824,32.2%,81,107,52,6849,33531,90,68,439,5419,4991,26,197,13050
