مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
اول الغردقة,36273,17183,154,47.8%,14,6,7,2660,2979,27,9,159,4392,4534,6,60,2330
ثان الغردقة,81306,36263,413,45.1%,43,35,16,5379,6099,37,20,342,9427,8937,8,217,5703
سفاجا,34655,12905,142,37.6%,24,20,35,3813,2089,8,21,137,1625,2968,3,65,2097
راس غارب,26127,11735,131,45.4%,8,10,8,2390,2229,10,3,142,1352,3157,4,78,2344
مرسى علم,5815,1452,33,25.5%,2,5,1,461,244,6,3,15,102,279,1,13,320
شلاتين,8522,1909,77,23.3%,23,9,7,460,258,9,10,26,72,71,8,23,933
القصير,31533,11663,213,37.7%,24,23,9,3488,2430,16,11,163,1072,2438,6,117,1866
الإجمالي,224231,93110,1163,42.0%,138,108,83,18651,16328,113,77,984,18042,22384,36,573,15593
