مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
الجيزة,246813,120526,2301,49.8%,148,103,100,14643,20542,174,104,1159,24348,34539,52,1019,23595
الدقى,117154,69110,643,59.5%,63,23,41,15329,12935,153,14,1253,13553,18395,11,618,6722
العجوزة,219980,126753,1128,58.1%,104,32,70,21551,21846,240,49,1953,25708,36812,20,1029,17339
امبابة,499706,245524,2951,49.7%,288,200,216,27361,35381,307,206,2438,55722,77108,100,2284,43913
الوراق,256923,119218,2003,47.2%,171,101,114,10339,18313,132,125,919,25272,32043,42,989,30658
بولاق الدكرور,475397,234907,3043,50.1%,205,153,178,24145,40108,316,142,2444,42974,75421,85,1879,46857
الهرم,299709,157987,2032,53.4%,144,94,111,17496,33244,188,93,2085,30949,40814,33,1242,31494
العمرانية,202472,111610,1029,55.6%,79,36,64,10685,20626,129,37,1292,28412,30749,24,833,18644
الطالبية,156309,84441,803,54.5%,70,38,61,8375,16965,131,57,909,16348,24465,15,709,16298
6 اكتوبر اول,41285,28116,156,68.5%,15,2,11,2977,7781,48,2,702,4107,7324,0,226,4921
6 اكتوبر ثان,78644,48730,423,62.5%,29,23,37,3844,10400,55,13,771,7395,12114,5,462,13582
الشيخ زايد,23612,17107,94,72.8%,9,3,7,2319,3865,34,1,397,2730,4546,2,148,3046
الحوامدية,98964,50644,795,52.0%,56,41,47,5882,11537,52,36,410,6308,9504,16,254,16501
الواحات البحرية,21729,7436,170,35.0%,24,28,18,1106,2557,10,16,45,718,382,2,31,2499
مركز ابو النمرس,150923,75660,1803,51.3%,113,89,79,5283,14907,80,78,807,12083,10914,51,400,30776
مركز اوسيم,173130,86775,1817,51.2%,104,73,54,7237,23336,97,54,563,10758,10392,25,414,33668
مركز البدرشين,235590,108114,2364,46.9%,188,128,97,12692,27152,123,101,935,9105,8373,86,491,48643
مركز العياط,211342,102320,3153,49.9%,213,165,139,12541,18913,130,161,675,14824,9831,90,470,44168
منشأة القناطر,230832,103732,2083,45.8%,155,100,90,7241,22046,98,90,606,13341,8877,44,492,50552
مركز كرداسة,210089,106033,1930,51.4%,132,85,75,6677,22831,114,87,557,8886,13405,59,527,52598
مركز الصف,179562,86985,1949,49.5%,130,105,92,14695,21973,102,102,494,11214,5388,58,449,32183
مركز اطفيح,150494,62355,1301,42.3%,77,81,60,3688,15839,58,52,310,8140,2615,39,195,31201
الإجمالي,4280659,2154083,33971,51.1%,2517,1703,1761,236106,423097,2771,1620,21724,372895,474011,859,15161,599858
