مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
الواحات الخارجة,53818,23890,286,44.9%,80,65,78,3570,5705,38,47,282,3808,4142,11,137,5927
مركز باريس,7575,2983,82,40.5%,7,15,21,509,634,3,4,14,196,449,3,11,1117
مركز الفرافرة,16269,4678,111,29.4%,36,21,17,659,865,12,17,30,372,975,13,43,1618
م الواحات الداخلة,55301,19826,418,36.6%,116,99,55,4380,5007,45,86,154,1959,1866,13,82,5964
مركز بلاط,8638,2830,65,33.5%,17,18,10,288,1127,9,5,94,113,175,4,25,945
الإجمالي,141601,54207,962,39.0%,256,218,181,9406,13338,107,159,574,6448,7607,44,298,15571
