مقر اللجنة,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,ابو العز الحريري,محمد فوزي,احمد حسام,عمرو موسى,عبد المنعم أبو الفتوح,هشام البسطويسي,محمود حسام,محمد سليم العوا,أحمد شفيق,حمدين صباحي,عبد الله الأشعل,خالد علي,محمد مرسي
الشرق,34483,22344,199,65.4%,10,1,22,3905,3248,31,6,233,4994,8046,1,102,1745
العرب,53044,32210,322,61.3%,35,12,15,5119,3993,36,20,247,5463,13182,8,185,3895
المناخ,76777,44055,472,58.0%,52,39,42,6917,5184,70,35,294,6887,18320,19,244,5952
الضواحى,60290,35441,440,59.5%,39,25,24,4566,4064,32,28,210,4922,14487,8,147,6889
بورفؤاد,52351,35747,308,68.9%,19,13,23,4444,5686,60,10,345,5772,14684,2,216,4473
ثان بورفؤاد,3633,2486,14,68.8%,1,1,0,316,349,1,3,23,370,1039,1,19,363
الزهور,136533,80330,924,59.5%,106,102,89,10170,9379,100,82,491,10867,34563,37,393,13951
الجنوب,18931,6622,126,35.6%,19,21,24,1837,634,9,9,47,1673,608,4,23,1714
الإجمالي,436042,259235,2805,60.1%,281,214,239,37274,32537,339,193,1890,40948,104929,80,1329,38982
