القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
السويس,52.0,48.0,54883,23841,329,44.0,12406,11435
الأربعين,71.8,28.2,168526,61525,837,37.0,44169,17356
عتاقة,71.8,28.2,7885,3400,22,43.4,2440,960
فيصل,71.0,29.0,100508,40304,435,40.5,28597,11707
الجناين,87.3,12.7,55720,18833,257,34.3,16449,2384
الإجمالي,70.4,29.6,387522,147903,1880,38.7,104061,43842
