القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
العريش أول,65.9,34.1,27500,10275,128,37.8,6776,3499
العريش ثان,74.9,25.1,37819,13647,209,36.6,10222,3425
العريش ثالث,72.7,27.3,19119,6210,64,32.8,4512,1698
بئر العبد,78.8,21.2,23590,8394,127,36.1,6615,1779
الحسنة,95.5,4.5,5561,1122,28,20.7,1071,51
نخل,88.0,12.0,2914,449,10,15.8,395,54
الشيخ زويد,78.2,21.8,28989,5310,87,18.6,4151,1159
رفح,85.0,15.0,29553,3986,102,13.8,3389,597
العريش رابع,79.8,20.2,13193,4076,67,31.4,3251,825
القسيمة,97.0,3.0,5030,667,18,13.6,647,20
رمانة,89.6,10.4,22350,10828,109,48.9,9697,1131
الإجمالي,78.1,21.9,215618,64964,949,30.6,50726,14238
