القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
مرسى مطروح,86.9,13.1,106710,38786,467,36.8,33690,5096
الحمام,93.7,6.3,35444,12103,111,34.5,11342,761
السلوم,97.4,2.6,7771,2073,30,27.1,2019,54
الضبعة,97.3,2.7,20973,8424,75,40.5,8197,227
سيدى برانى,98.7,1.3,16997,5013,110,30.1,4946,67
سيوة,98.9,1.1,13049,5925,38,45.7,5861,64
العلمين,94.2,5.8,4185,1668,11,40.1,1572,96
النجيلة,98.9,1.1,7366,2638,21,36.1,2610,28
الإجمالي,91.7,8.3,212495,76630,863,36.5,70237,6393
