القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
الجنوب,70.2,29.8,23076,4497,142,20.1,3156,1341
ثان بورفؤاد,48.7,51.3,3258,1513,18,47.0,737,776
الزهور,58.4,41.6,138496,50001,680,36.6,29189,20812
الشرق,29.8,70.2,34935,16276,119,46.9,4845,11431
العرب,44.0,56.0,53184,20017,275,38.2,8815,11202
المناخ,49.5,50.5,76950,28087,393,37.0,13916,14171
بورفؤاد,46.6,53.4,53581,24727,296,46.7,11531,13196
الضواحي,60.3,39.7,61842,21813,375,35.9,13164,8649
الإجمالي,51.1,48.9,445322,166931,2298,38.0,85353,81578
