القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
بنها,38.0,62.0,130617,48600,607,37.7,18466,30134
مركز بنها,52.1,47.9,258420,81140,1599,32.0,42285,38855
مركز الخانكة,75.7,24.3,190412,63855,1059,34.1,48334,15521
مركز القناطر الخيرية,57.5,42.5,234363,71217,1668,31.1,40932,30285
مركز شبين القناطر,65.4,34.6,273792,94993,1733,35.3,62078,32915
شبرا الخيمة أول,55.5,44.5,339683,112015,1617,33.5,62182,49833
شبرا الخيمة ثان,66.6,33.4,350427,108180,1861,31.4,72026,36154
مركز طوخ,63.5,36.5,312284,92237,1673,30.1,58535,33702
مركز قليوب,63.8,36.2,191658,58311,1341,31.1,37186,21125
مركز كفر شكر,52.7,47.3,105223,39780,695,38.5,20947,18833
العبور,61.7,38.3,16786,8729,81,52.5,5382,3347
قها,50.9,49.1,25483,7928,84,31.4,4033,3895
الخصوص,58.7,41.3,69590,20038,273,29.2,11769,8269
قليوب,56.6,43.4,89831,30369,590,34.5,17198,13171
الخانكة,68.0,32.0,51239,15733,343,31.4,10702,5031
الإجمالي,60.0,40.0,2639808,853125,15224,32.9,512055,341070
