القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
القصير,73.9,26.1,32024,8218,99,26.0,6075,2143
رأس  غارب,74.4,25.6,26714,8752,101,33.1,6513,2239
سفاجا,72.5,27.5,35192,9014,118,25.9,6536,2478
مرسى علم,81.5,18.5,6116,1235,13,20.4,1007,228
شلاتين,93.1,6.9,9327,1469,23,16.0,1368,101
أول الغردقة,48.9,51.1,38053,13515,121,35.8,6608,6907
ثان الغردقة,56.7,43.3,84962,28229,366,33.7,16009,12220
الإجمالي,62.6,37.4,232388,70432,841,30.7,44116,26316
