القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
مركز فاقوس,73.3,26.7,324690,90143,1530,28.2,66038,24105
مركز كفر صقر,60.1,39.9,157577,48136,1348,31.4,28923,19213
مركز منيا القمح,66.1,33.9,382309,125428,2372,33.4,82869,42559
مركز ههيا,73.6,26.4,143114,51811,974,36.9,38129,13682
مركز مشتول السوق,77.5,22.5,99643,28239,598,28.9,21877,6362
مركز الإبراهيمية,62.5,37.5,88693,27935,498,32.1,17468,10467
القنايات,60.8,39.2,30880,10531,184,34.7,6408,4123
مركز أولاد صقر,66.0,34.0,121030,29957,556,25.2,19782,10175
القرين,89.9,10.1,42828,13996,150,33.0,12588,1408
أول وثان العاشر من رمضان,64.8,35.2,44475,34183,425,77.8,22154,12029
فاقوس,47.3,52.7,62499,19081,201,30.9,9024,10057
مركز صان الحجر,67.2,32.8,49654,10734,238,22.1,7217,3517
مركز منشأة ابوعمر,71.6,28.4,38495,10356,249,27.5,7410,2946
الزقازيق أول,41.4,58.6,117656,42581,582,36.7,17621,24960
الزقازيق ثان,42.2,57.8,138033,54117,912,39.9,22836,31281
مركز الزقازيق,67.9,32.1,425730,136657,2776,32.8,92759,43898
مركز ابوحماد,73.2,26.8,223973,78666,1440,35.8,57616,21050
مركز ابوكبير,72.7,27.3,222054,71395,1332,32.8,51934,19461
مركز الحسينية,63.4,36.6,167145,44700,801,27.2,28355,16345
الصالحية الجديدة,65.5,34.5,4085,1850,32,46.1,1211,639
مركز بلبيس,71.4,28.6,390298,118281,2711,31.0,84441,33840
مركز ديرب نجم,57.1,42.9,247989,71551,1234,29.4,40843,30708
الإجمالي,65.8,34.2,3565351,1120328,21143,32.0,737503,382825
