القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
طنطا أول,30.2,69.8,180373,68948,939,38.7,20815,48133
طنطا ثان,34.6,65.4,168349,63932,967,38.6,22151,41781
مركز طنطا,48.7,51.3,370217,123481,2198,33.9,60095,63386
مركز السنطة,45.2,54.8,257927,88986,2008,35.3,40239,48747
المحلة أول,41.4,58.6,171034,63949,939,37.9,26497,37452
المحلة ثان,42.8,57.2,190348,69482,1255,37.2,29767,39715
مركزالمحلة الكبرى,55.1,44.9,411550,117389,2378,29.1,64695,52694
مركز بسيون,61.4,38.6,176483,52270,1041,30.2,32100,20170
مركز زفتى,52.2,47.8,308440,96600,2035,32.0,50392,46208
مركز سمنود,55.2,44.8,225666,77757,1677,35.2,42884,34873
مركز قطور,58.6,41.4,204060,61305,1187,30.6,35917,25388
مركز كفر الزيات,44.5,55.5,284209,96398,1972,34.6,42936,53462
الإجمالي,47.8,52.2,2948656,980497,18596,33.9,468488,512009
