القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
الفيوم,70.1,29.9,233960,84895,1218,36.8,59499,25396
مركز الفيوم,93.6,6.4,233443,86946,2092,38.1,81379,5567
مركز ابشواي,93.5,6.5,187927,62232,1691,34.0,58185,4047
مركز أطسا,92.7,7.3,308408,98686,2460,32.8,91449,7237
مركز سنورس,90.7,9.3,268231,91765,2225,35.0,83254,8511
مركز طامية,94.1,5.9,189516,66130,1355,35.6,62250,3880
مركز يوسف الصديق,95.2,4.8,158209,53455,1400,34.7,50874,2581
الإجمالي,89.5,10.5,1579694,544109,12441,35.2,486890,57219
