القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
مركز بني عبيد,56.9,43.1,78670,21793,399,28.2,12402,9391
مركز محلة دمنة,60.4,39.6,34845,11550,404,34.3,6981,4569
مركز تمي الأمديد,63.1,36.9,105386,24265,477,23.5,15317,8948
جمصة,51.8,48.2,478,195,6,42.1,101,94
مركز نبروه,63.0,37.0,156045,39788,971,26.1,25055,14733
الكردي,45.9,54.1,26616,6891,288,27.0,3164,3727
المنصورة أول,38.3,61.7,207516,87979,1265,43.0,33692,54287
المنصورة ثان,41.0,59.0,163410,62239,745,38.5,25544,36695
مركز المنصورة,58.1,41.9,329638,113081,1918,34.9,65653,47428
مركز أجا,52.8,47.2,294345,97730,2118,33.9,51619,46111
مركز السنبلاوين,52.6,47.4,322228,99228,1580,31.3,52239,46989
مركز المطرية,80.2,19.8,88523,22961,340,26.3,18418,4543
مركز المنزلة,62.9,37.1,181422,51978,885,29.1,32678,19300
مركز بلقاس,52.0,48.0,319521,72142,1381,23.0,37482,34660
مركز دكرنس,63.4,36.6,208062,68155,1185,33.3,43180,24975
مركز شربين,63.5,36.5,256889,74929,1145,29.6,47614,27315
مركز طلخا,55.7,44.3,230433,73552,1413,32.5,40948,32604
ميت غمر,34.5,65.5,96306,33325,570,35.2,11506,21819
مركز ميت غمر,53.3,46.7,354139,113278,2554,32.7,60355,52923
مركز منية النصر,57.6,42.4,150151,48378,970,32.9,27866,20512
مركز الجمالية,76.6,23.4,73109,14093,180,19.5,10794,3299
مركز ميت سلسيل,68.3,31.7,42026,12600,219,30.5,8611,3989
الإجمالي,54.9,45.1,3719758,1150130,21013,31.5,631219,518911
