القسم,نسبة موافق,نسبة غير موافق,عدد الناخبين,الأصوات الصحيحة,الأصوات الباطلة,نسبة المشاركة,موافق,غير موافق
بني سويف,57.6,42.4,157070,71839,1023,46.4,41377,30462
مركز بني سويف,87.3,12.7,189032,69659,2028,37.9,60787,8872
بنى سويف الجديدة,63.8,36.2,4109,2140,28,52.8,1365,775
مركز الفشن,86.1,13.9,203849,68038,1685,34.2,58551,9487
مركز الواسطى,88.3,11.7,221267,86612,1963,40.0,76466,10146
مركز أهناسيا,92.3,7.7,173678,60173,1656,35.6,55544,4629
مركز ببا,88.1,11.9,208553,76975,1947,37.8,67789,9186
مركز سمسطا,93.0,7.0,122125,47715,1293,40.1,44357,3358
مركز ناصر,89.9,10.1,174595,66786,1431,39.1,60012,6774
الإجمالي,84.8,15.2,1454278,549937,13054,38.7,466248,83689
